id,name,gender,yearOfBirth,yearOfDeath,placeOfBirth,placeOfDeath,url
10093,"Abakanowicz, Magdalena",F,1930,0,Polska,Unknown,http://www.tate.org.uk/art/artists/magdalena-abakanowicz-10093
0,"Abbey, Edwin Austin",M,1852,1911,"Philadelphia, United States","London, United Kingdom",http://www.tate.org.uk/art/artists/edwin-austin-abbey-0
2756,"Abbott, Berenice",F,1898,1991,"Springfield, United States","Monson, United States",http://www.tate.org.uk/art/artists/berenice-abbott-2756
1,"Abbott, Lemuel Francis",M,1760,1803,"Leicestershire, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/lemuel-francis-abbott-1
622,"Abrahams, Ivor",M,1935,0,"Wigan, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/ivor-abrahams-622
2606,Absalon,M,1964,1993,"Tel Aviv-Yafo, Yisra'el","Paris, France",http://www.tate.org.uk/art/artists/absalon-2606
9550,"Abts, Tomma",F,1967,0,"Kiel, Deutschland",Unknown,http://www.tate.org.uk/art/artists/tomma-abts-9550
623,"Acconci, Vito",M,1940,0,"New York, United States",Unknown,http://www.tate.org.uk/art/artists/vito-acconci-623
624,"Ackling, Roger",M,1947,2014,"Isleworth, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/roger-ackling-624
625,"Ackroyd, Norman",M,1938,0,"Leeds, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/norman-ackroyd-625
2411,"Adam, Robert",M,1728,1792,"Kirkcaldy, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/robert-adam-2411
626,"Adams, Harry William",M,1868,1947,"Worcester, United Kingdom","Worcester, United Kingdom",http://www.tate.org.uk/art/artists/harry-william-adams-626
627,"Adams, Norman",M,1927,2005,"London, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/norman-adams-627
628,"Adams, Robert",M,1917,1984,"Northampton, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/robert-adams-628
629,"Adeney, Bernard",M,1878,1966,"London, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/bernard-adeney-629
630,"Adler, Jankel",M,1895,1949,"Tuszyn, Polska","Aldbourne, United Kingdom",http://www.tate.org.uk/art/artists/jankel-adler-630
2608,"Adshead, Mary",F,1904,1995,"London, United Kingdom","Hampstead, United Kingdom",http://www.tate.org.uk/art/artists/mary-adshead-2608
631,"Adzak, Roy",M,1927,1987,"Reading, United Kingdom","Paris, France",http://www.tate.org.uk/art/artists/roy-adzak-631
632,Afro,M,1912,1976,"Udine, Italia","Zürich, Schweiz",http://www.tate.org.uk/art/artists/afro-afro-basaldella-632
633,"Agar, Eileen",F,1899,1991,"Ayacucho, Argentina","London, United Kingdom",http://www.tate.org.uk/art/artists/eileen-agar-633
2,"Agasse, Jacques Laurent",M,1767,1849,"Genève, Schweiz","London, United Kingdom",http://www.tate.org.uk/art/artists/jacques-laurent-agasse-2
3098,"Ahtila, Eija-Liisa",F,1959,0,"Hämeenlinna, Suomi",Unknown,http://www.tate.org.uk/art/artists/eija-liisa-ahtila-3098
8208,"Ai, Weiwei",M,1957,0,"Beijing, Zhonghua",Unknown,http://www.tate.org.uk/art/artists/ai-weiwei-8208
634,"Aitchison, Craigie",M,1926,2009,"Edinburgh, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/craigie-aitchison-634
635,"Ajmone, Giuseppe",M,1923,2005,"Carpignano Sesia, Italia",Unknown,http://www.tate.org.uk/art/artists/giuseppe-ajmone-635
14744,"Aksel, Erdag",M,1953,0,"Izmir, Türkiye",Unknown,http://www.tate.org.uk/art/artists/erdag-aksel-14744
7794,"Al-Ani, Jananne",F,1966,0,"Kirkuk, Al-‘Iraq",Unknown,http://www.tate.org.uk/art/artists/jananne-al-ani-7794
3067,"Albers, Anni",F,1899,1994,"Berlin, Deutschland","Orange, United States",http://www.tate.org.uk/art/artists/anni-albers-3067
636,"Albers, Josef",M,1888,1976,"Bottrop, Deutschland","New Haven, United States",http://www.tate.org.uk/art/artists/josef-albers-636
637,"Albright, Ivan",M,1897,1983,"Chicago, United States","Woodstock, United States",http://www.tate.org.uk/art/artists/ivan-albright-637
638,"Aldridge, John",M,1905,1983,"Greenwich, United Kingdom",Unknown,http://www.tate.org.uk/art/artists/john-aldridge-638
639,"Alechinsky, Pierre",M,1927,0,"Bruxelles, België",Unknown,http://www.tate.org.uk/art/artists/pierre-alechinsky-639
